# Format: Russian|German|English|Plural_ending|ExampleGerman1|ExampleEnglish1|ExampleGerman2|ExampleEnglish2...
# Environment Topic
Изменение климата|Der Klimawandel|Climate change||Der Klimawandel bedroht unsere Zukunft.|Изменение климата угрожает нашему будущему.|Wir müssen den Klimawandel stoppen.|Мы должны остановить изменение климата.
Загрязнение окружающей среды|Die Umweltverschmutzung|Environmental pollution||Die Umweltverschmutzung ist ein großes Problem.|Загрязнение окружающей среды является большой проблемой.|Wir müssen die Umweltverschmutzung reduzieren.|Мы должны сократить загрязнение окружающей среды.
Биоразнообразие|Die Biodiversität|Biodiversity||Die Biodiversität ist wichtig für unser Ökosystem.|Биоразнообразие важно для нашей экосистемы.|Der Verlust der Biodiversität ist alarmierend.|Потеря биоразнообразия тревожна.
Стратегия устойчивости|Die Nachhaltigkeitsstrategie|Sustainability strategy|-ien|Die Nachhaltigkeitsstrategie umfasst verschiedene Maßnahmen.|Стратегия устойчивости включает различные меры.|Wir entwickeln eine neue Nachhaltigkeitsstrategie.|Мы разрабатываем новую стратегию устойчивости.
Экологическая катастрофа|Die ökologische Katastrophe|Ecological catastrophe|-en|Eine ökologische Katastrophe droht uns.|Экологическая катастрофа угрожает нам.|Die ökologischen Katastrophen nehmen zu.|Экологические катастрофы увеличиваются.
Устойчивое развитие|Die nachhaltige Entwicklung|Sustainable development||Die nachhaltige Entwicklung ist wichtig für die Zukunft.|Устойчивое развитие важно для будущего.|Wir brauchen eine Strategie für nachhaltige Entwicklung.|Нам нужна стратегия устойчивого развития.
Глобальное потепление|Die globale Erwärmung|Global warming||Die globale Erwärmung führt zu extremen Wetterereignissen.|Глобальное потепление приводит к экстремальным погодным явлениям.|Die globale Erwärmung bedroht unsere Umwelt.|Глобальное потепление угрожает нашей окружающей среде.
Возобновляемая энергия|Die erneuerbare Energie|Renewable energy|-en|Die erneuerbaren Energien sind umweltfreundlich.|Возобновляемые энергии экологически чисты.|Wir fördern die Nutzung erneuerbarer Energien.|Мы продвигаем использование возобновляемых энергий.
Парниковый эффект|Der Treibhauseffekt|Greenhouse effect||Der Treibhauseffekt verursacht die globale Erwärmung.|Парниковый эффект вызывает глобальное потепление.|Wir müssen den Treibhauseffekt reduzieren.|Мы должны сократить парниковый эффект.
Экологическая ответственность|Die Umweltverantwortung|Environmental responsibility||Die Umweltverantwortung liegt bei jedem Einzelnen.|Экологическая ответственность лежит на каждом.|Unternehmen müssen mehr Umweltverantwortung übernehmen.|Компании должны взять на себя больше экологической ответственности.
Лесное хозяйство|Die Forstwirtschaft|Forestry||Die Forstwirtschaft ist wichtig für den Umweltschutz.|Лесное хозяйство важно для охраны окружающей среды.|Die moderne Forstwirtschaft ist nachhaltig.|Современное лесное хозяйство устойчиво.
Водные ресурсы|Die Wasserressourcen|Water resources||Die Wasserressourcen müssen geschützt werden.|Водные ресурсы должны быть защищены.|Der Wasserverbrauch belastet die Wasserressourcen.|Потребление воды нагружает водные ресурсы.
Почвенная эрозия|Die Bodenerosion|Soil erosion||Die Bodenerosion zerstört fruchtbares Land.|Почвенная эрозия разрушает плодородную землю.|Wir bekämpfen die Bodenerosion durch Aufforstung.|Мы боремся с почвенной эрозией путем лесовосстановления.
Экологический баланс|Das ökologische Gleichgewicht|Ecological balance||Das ökologische Gleichgewicht ist gestört.|Экологический баланс нарушен.|Wir müssen das ökologische Gleichgewicht wiederherstellen.|Мы должны восстановить экологический баланс.
Возобновляемая энергия|Die erneuerbare Energie|Renewable energy|-en|Die erneuerbaren Energien sind umweltfreundlich.|Возобновляемые энергии экологически чисты.|Wir fördern die Nutzung erneuerbarer Energien.|Мы продвигаем использование возобновляемых энергий.

# Society Topic
Социальное неравенство|Die soziale Ungleichheit|Social inequality||Die soziale Ungleichheit ist ein ernstes Problem.|Социальное неравенство является серьезной проблемой.|Wir kämpfen gegen soziale Ungleichheit.|Мы боремся против социального неравенства.
Интеграция|Die Integration|Integration||Die Integration von Migranten ist wichtig.|Интеграция мигрантов важна.|Die erfolgreiche Integration braucht Zeit.|Успешная интеграция требует времени.
Дискриминация|Die Diskriminierung|Discrimination||Die Diskriminierung ist gesetzlich verboten.|Дискриминация запрещена законом.|Wir bekämpfen jede Form von Diskriminierung.|Мы боремся с любой формой дискриминации.
Равенство возможностей|Die Chancengleichheit|Equal opportunities||Die Chancengleichheit muss für alle gelten.|Равенство возможностей должно применяться ко всем.|Die Chancengleichheit ist ein Grundrecht.|Равенство возможностей является основным правом.
Эмансипация|Die Emanzipation|Emancipation||Die Emanzipation der Frau war ein langer Prozess.|Эмансипация женщин была долгим процессом.|Die Emanzipation brachte viele Veränderungen.|Эмансипация принесла много изменений.
Социальная мобильность|Die soziale Mobilität|Social mobility||Die soziale Mobilität ist in unserer Gesellschaft eingeschränkt.|Социальная мобильность ограничена в нашем обществе.|Bildung ermöglicht soziale Mobilität.|Образование обеспечивает социальную мобильность.
Социальное обеспечение|Die soziale Sicherung|Social security||Das soziale Sicherungssystem muss reformiert werden.|Система социального обеспечения должна быть реформирована.|Die soziale Sicherung hilft den Bedürftigen.|Социальное обеспечение помогает нуждающимся.
Гендерное равенство|Die Geschlechtergleichheit|Gender equality||Die Geschlechtergleichheit ist ein wichtiges Ziel.|Гендерное равенство является важной целью.|Wir arbeiten für mehr Geschlechtergleichheit.|Мы работаем над большим гендерным равенством.
Социальная сплоченность|Der soziale Zusammenhalt|Social cohesion||Der soziale Zusammenhalt stärkt die Gemeinschaft.|Социальная сплоченность укрепляет сообщество.|Die soziale Zusammenhalt ist in Krisenzeiten besonders wichtig.|Социальная сплоченность особенно важна в кризисные времена.
Бедность|Die Armut|Poverty||Die Armut ist ein globales Problem.|Бедность является глобальной проблемой.|Wir bekämpfen die Armut durch Bildung.|Мы боремся с бедностью через образование.
Социальный капитал|Das soziale Kapital|Social capital||Der soziale Kapital ist wertvoll für die Gesellschaft.|Социальный капитал ценен для общества.|Netzwerke bauen sozialen Kapital auf.|Сети строят социальный капитал.
Образовательное неравенство|Die Bildungsungerechtigkeit|Educational inequality||Die Bildungsungerechtigkeit behindert die Entwicklung.|Образовательное неравенство препятствует развитию.|Wir müssen die Bildungsungerechtigkeit bekämpfen.|Мы должны бороться с образовательным неравенством.
Семейная политика|Die Familienpolitik|Family policy||Die Familienpolitik unterstützt Eltern und Kinder.|Семейная политика поддерживает родителей и детей.|Die moderne Familienpolitik ist vielfältig.|Современная семейная политика разнообразна.
Миграционная политика|Die Migrationspolitik|Migration policy||Die Migrationspolitik muss human bleiben.|Миграционная политика должна оставаться гуманной.|Europa braucht eine gemeinsame Migrationspolitik.|Европе нужна общая миграционная политика.

# Culture Topic
Культурная идентичность|Die kulturelle Identität|Cultural identity|-en|Die kulturelle Identität ist sehr wichtig.|Культурная идентичность очень важна.|Die kulturellen Identitäten bereichern unsere Gesellschaft.|Культурные идентичности обогащают наше общество.
Мультикультурализм|Die Multikulturalität|Multiculturalism||Die Multikulturalität ist eine Stärke Europas.|Мультикультурализм является силой Европы.|Die Multikulturalität fördert den Austausch.|Мультикультурализм способствует обмену.
Культурные изменения|Der Kulturwandel|Cultural change||Der Kulturwandel verläuft langsam.|Культурные изменения происходят медленно.|Der digitale Kulturwandel ist unaufhaltsam.|Цифровые культурные изменения неотвратимы.
Сохранение традиций|Die Traditionspflege|Preservation of traditions||Die Traditionspflege ist wichtig für die Identität.|Сохранение традиций важно для идентичности.|Die Traditionspflege verbindet Generationen.|Сохранение традиций связывает поколения.
Межкультурная компетентность|Die interkulturelle Kompetenz|Intercultural competence|-en|Die interkulturelle Kompetenz ist gefragt.|Межкультурная компетентность востребована.|Die interkulturellen Kompetenzen entwickeln sich durch Erfahrung.|Межкультурные компетенции развиваются через опыт.
Культурное наследие|Das kulturelle Erbe|Cultural heritage||Das kulturelle Erbe muss bewahrt werden.|Культурное наследие должно быть сохранено.|Das kulturelle Erbe bereichert unsere Identität.|Культурное наследие обогащает нашу идентичность.
Языковое разнообразие|Die Sprachenvielfalt|Linguistic diversity||Die Sprachenvielfalt ist ein Reichtum Europas.|Языковое разнообразие является богатством Европы.|Wir fördern die Sprachenvielfalt in der EU.|Мы продвигаем языковое разнообразие в ЕС.
Культурный обмен|Der Kulturaustausch|Cultural exchange||Der Kulturaustausch fördert das Verständnis.|Культурный обмен способствует пониманию.|Internationale Kulturaustausch ist wichtig.|Международный культурный обмен важен.
Фольклор|Der Folklore|Folklore||Der Folklore erzählt Geschichten unserer Vorfahren.|Фольклор рассказывает истории наших предков.|Der deutsche Folklore ist vielfältig.|Немецкий фольклор разнообразен.
Искусство и культура|Kunst und Kultur|Arts and culture||Kunst und Kultur prägen unsere Gesellschaft.|Искусство и культура формируют наше общество.|Die Förderung von Kunst und Kultur ist wichtig.|Поддержка искусства и культуры важна.
Культурная интеграция|Die kulturelle Integration|Cultural integration||Die kulturelle Integration braucht Zeit.|Культурная интеграция требует времени.|Erfolgreiche kulturelle Integration bereichert alle.|Успешная культурная интеграция обогащает всех.
Традиционные ценности|Die traditionellen Werte|Traditional values||Die traditionellen Werte verbinden Generationen.|Традиционные ценности связывают поколения.|Wir achten die traditionellen Werte unserer Kultur.|Мы уважаем традиционные ценности нашей культуры.
